Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"230259","CHELSEA COMMUNITY HOSPITAL","775 S MAIN ST","Chelsea","MI","48118","WASHTENAW","0.84443","Not Available","Not Available","Not Available","0.87116","0 out of 10","0 out of 9","0 out of 10","0.88213","0 out of 10","0 out of 9","0 out of 10","0.41531","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"230269","BEAUMONT HOSPITAL, TROY","44201 DEQUINDRE ROAD","Troy","MI","48085","OAKLAND","0.87647","10 out of 10","9 out of 9","10 out of 10","0.86677","0 out of 10","0 out of 9","0 out of 10","0.90759","10 out of 10","9 out of 9","10 out of 10","0.44783","10 out of 10","9 out of 9","10 out of 10","0.201","5 out of 10","1 out of 9","5 out of 10"
"230270","OAKWOOD HOSPITAL - TAYLOR","10000 TELEGRAPH ROAD","Taylor","MI","48180","WAYNE","0.85343","Not Available","Not Available","Not Available","0.88311","1 out of 10","0 out of 9","1 out of 10","0.87570","0 out of 10","0 out of 9","0 out of 10","0.36513","10 out of 10","9 out of 9","10 out of 10","1.330","0 out of 10","0 out of 9","0 out of 10"
"230273","DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER","4201 ST ANTOINE ST - 3M","Detroit","MI","48201","WAYNE","0.83946","0 out of 10","0 out of 9","0 out of 10","0.88825","4 out of 10","0 out of 9","4 out of 10","0.88696","2 out of 10","1 out of 9","2 out of 10","0.73192","0 out of 10","0 out of 9","0 out of 10","0.511","0 out of 10","0 out of 9","0 out of 10"
"230277","HURON VALLEY-SINAI HOSPITAL","ONE WILLIAM CARLS DRIVE","Commerce","MI","48382","OAKLAND","0.85259","4 out of 10","0 out of 9","4 out of 10","0.86970","0 out of 10","0 out of 9","0 out of 10","0.87819","0 out of 10","0 out of 9","0 out of 10","0.46767","9 out of 10","8 out of 9","9 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"230297","KARMANOS CANCER CENTER","4100 JOHN R","Detroit","MI","48201","WAYNE","0.85616","Not Available","Not Available","Not Available","0.88110","Not Available","Not Available","Not Available","0.88287","Not Available","Not Available","Not Available","0.46472","9 out of 10","9 out of 9","9 out of 10","0.610","0 out of 10","Not Available","0 out of 10"
"230301","OAKLAND REGIONAL HOSPITAL","22401 FOSTER WINTER DRIVE","Southfield","MI","48075","OAKLAND","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.49358","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"230302","HENRY FORD WEST BLOOMFIELD HOSPITAL","6777 WEST MAPLE ROAD","W Bloomfield","MI","48322","OAKLAND","0.86606","10 out of 10","9 out of 9","10 out of 10","0.88565","2 out of 10","2 out of 9","2 out of 10","0.90352","9 out of 10","9 out of 9","9 out of 10","0.73723","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"240001","NORTH MEMORIAL MEDICAL CENTER","3300 OAKDALE NORTH","Robbinsdale","MN","55422","HENNEPIN","0.87567","10 out of 10","9 out of 9","10 out of 10","0.88426","2 out of 10","2 out of 9","2 out of 10","0.88120","0 out of 10","3 out of 9","3 out of 10","0.36144","10 out of 10","9 out of 9","10 out of 10","0.491","0 out of 10","0 out of 9","0 out of 10"
"240002","ESSENTIA HEALTH ST MARY'S MEDICAL CENTER","407 EAST THIRD STREET","Duluth","MN","55805","ST. LOUIS","0.85300","4 out of 10","3 out of 9","4 out of 10","0.86129","0 out of 10","0 out of 9","0 out of 10","0.89182","4 out of 10","7 out of 9","7 out of 10","0.50943","6 out of 10","6 out of 9","6 out of 10","0.208","5 out of 10","3 out of 9","5 out of 10"
"240004","HENNEPIN COUNTY MEDICAL CENTER","701 PARK AVENUE","Minneapolis","MN","55415","HENNEPIN","0.85893","Not Available","Not Available","Not Available","0.88535","2 out of 10","6 out of 9","6 out of 10","0.88184","0 out of 10","0 out of 9","0 out of 10","0.53877","5 out of 10","7 out of 9","7 out of 10","0.764","0 out of 10","1 out of 9","1 out of 10"
"240006","OLMSTED MEDICAL CENTER","1650 FOURTH STREET SOUTHEAST","Rochester","MN","55904","OLMSTED","Not Available","Not Available","Not Available","Not Available","0.87185","Not Available","Not Available","Not Available","0.87425","Not Available","Not Available","Not Available","0.61463","1 out of 10","0 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
"240010","MAYO CLINIC HOSPITAL ROCHESTER","1216 SECOND STREET SOUTHWEST","Rochester","MN","55902","OLMSTED","0.87409","10 out of 10","9 out of 9","10 out of 10","0.87879","0 out of 10","0 out of 9","0 out of 10","0.89795","7 out of 10","7 out of 9","7 out of 10","0.53826","5 out of 10","0 out of 9","5 out of 10","0.411","1 out of 10","2 out of 9","2 out of 10"
"240014","NORTHFIELD HOSPITAL","2000 NORTH AVENUE","Northfield","MN","55057","DAKOTA","0.85194","Not Available","Not Available","Not Available","0.87123","Not Available","Not Available","Not Available","0.88340","Not Available","Not Available","Not Available","0.48042","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"240018","MAYO CLINIC HEALTH SYSTEM IN RED WING","701 HEWITT BOULEVARD, PO BOX 95","Red Wing","MN","55066","GOODHUE","0.85835","Not Available","Not Available","Not Available","0.87928","Not Available","Not Available","Not Available","0.86703","Not Available","Not Available","Not Available","0.45015","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"240019","ESSENTIA HEALTH DULUTH","502 EAST SECOND STREET","Duluth","MN","55805","ST. LOUIS","0.85677","Not Available","Not Available","Not Available","0.88016","Not Available","Not Available","Not Available","0.88987","Not Available","Not Available","Not Available","0.49704","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"240020","CAMBRIDGE MEDICAL CENTER","701 SOUTH DELLWOOD AVENUE","Cambridge","MN","55008","ISANTI","0.85805","Not Available","Not Available","Not Available","0.89084","Not Available","Not Available","Not Available","0.89027","Not Available","Not Available","Not Available","0.59892","1 out of 10","0 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
"240022","SANFORD  WORTHINGTON MEDICAL CENTER","1018 SIXTH AVENUE PO BOX 997","Worthington","MN","56187","NOBLES","0.85601","Not Available","Not Available","Not Available","0.88780","Not Available","Not Available","Not Available","0.89711","7 out of 10","Not Available","7 out of 10","0.48221","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"240030","DOUGLAS COUNTY HOSPITAL","111 17TH AVENUE EAST","Alexandria","MN","56308","DOUGLAS","0.84054","Not Available","Not Available","Not Available","0.87546","0 out of 10","Not Available","0 out of 10","0.88119","0 out of 10","Not Available","0 out of 10","0.44594","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"240036","ST CLOUD HOSPITAL","1406 6TH AVE NORTH","Saint Cloud","MN","56303","STEARNS","0.87942","10 out of 10","9 out of 9","10 out of 10","0.87920","0 out of 10","0 out of 9","0 out of 10","0.88856","3 out of 10","1 out of 9","3 out of 10","0.41433","10 out of 10","9 out of 9","10 out of 10","0.492","0 out of 10","0 out of 9","0 out of 10"
"240038","UNITED HOSPITAL","333 NORTH SMITH AVENUE","Saint Paul","MN","55102","RAMSEY","0.84753","1 out of 10","0 out of 9","1 out of 10","0.88621","3 out of 10","0 out of 9","3 out of 10","0.87903","0 out of 10","5 out of 9","5 out of 10","0.42859","10 out of 10","9 out of 9","10 out of 10","0.768","0 out of 10","0 out of 9","0 out of 10"
"240040","UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS","750 EAST 34TH ST","Hibbing","MN","55746","ST. LOUIS","0.85247","Not Available","Not Available","Not Available","0.87124","0 out of 10","Not Available","0 out of 10","0.88632","2 out of 10","5 out of 9","5 out of 10","0.46357","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"240043","MAYO CLINIC HEALTH SYSTEM - ALBERT LEA","404 WEST FOUNTAIN STREET","Albert Lea","MN","56007","FREEBORN","0.84465","Not Available","Not Available","Not Available","0.88052","0 out of 10","Not Available","0 out of 10","0.87227","0 out of 10","0 out of 9","0 out of 10","0.43413","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"240044","WINONA HEALTH SERVICES","855 MANKATO AVENUE","Winona","MN","55987","WINONA","0.86135","Not Available","Not Available","Not Available","0.88966","4 out of 10","7 out of 9","7 out of 10","0.88973","3 out of 10","0 out of 9","3 out of 10","0.49355","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"240047","ST LUKES HOSPITAL","915 EAST 1ST STREET","Duluth","MN","55805","ST. LOUIS","0.85517","5 out of 10","6 out of 9","6 out of 10","0.87805","0 out of 10","0 out of 9","0 out of 10","0.89861","7 out of 10","7 out of 9","7 out of 10","0.60588","1 out of 10","2 out of 9","2 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"240050","FAIRVIEW LAKES MEDICAL CENTER","5200 FAIRVIEW BOULEVARD","Wyoming","MN","55092","CHISAGO","Not Available","Not Available","Not Available","Not Available","0.87680","Not Available","Not Available","Not Available","0.87924","Not Available","Not Available","Not Available","0.51299","6 out of 10","3 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"240052","LAKE REGION HEALTHCARE CORPORATION","712 SOUTH CASCADE","Fergus Falls","MN","56537","OTTER TAIL","0.85668","Not Available","Not Available","Not Available","0.88416","Not Available","Not Available","Not Available","0.89538","Not Available","Not Available","Not Available","0.45530","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"240053","PARK NICOLLET METHODIST HOSPITAL","6500 EXCELSIOR BLVD","Saint Louis Park","MN","55426","HENNEPIN","0.86894","10 out of 10","9 out of 9","10 out of 10","0.88741","3 out of 10","4 out of 9","4 out of 10","0.90188","9 out of 10","5 out of 9","9 out of 10","0.48476","8 out of 10","8 out of 9","8 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"240056","RIDGEVIEW MEDICAL CENTER","500 SOUTH MAPLE STREET","Waconia","MN","55387","CARVER","0.85088","Not Available","Not Available","Not Available","0.86410","Not Available","Not Available","Not Available","0.87238","0 out of 10","0 out of 9","0 out of 10","0.54451","4 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"240057","ABBOTT NORTHWESTERN HOSPITAL","800 EAST 28TH STREET","Minneapolis","MN","55407","HENNEPIN","0.86688","10 out of 10","9 out of 9","10 out of 10","0.87598","0 out of 10","0 out of 9","0 out of 10","0.88826","3 out of 10","0 out of 9","3 out of 10","0.39449","10 out of 10","9 out of 9","10 out of 10","0.471","0 out of 10","0 out of 9","0 out of 10"
"240059","REGINA HOSPITAL","1175 NININGER ROAD","Hastings","MN","55033","DAKOTA","0.85742","Not Available","Not Available","Not Available","0.85496","Not Available","Not Available","Not Available","0.88592","2 out of 10","Not Available","2 out of 10","0.46848","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"240063","ST JOSEPH'S HOSPITAL","45 WEST 10TH STREET","Saint Paul","MN","55102","RAMSEY","0.86504","10 out of 10","9 out of 9","10 out of 10","0.88078","0 out of 10","4 out of 9","4 out of 10","0.89173","4 out of 10","4 out of 9","4 out of 10","0.45107","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"240064","GRAND ITASCA CLINIC AND HOSPITAL","1601 GOLF COURSE ROAD","Grand Rapids","MN","55744","ITASCA","0.85461","Not Available","Not Available","Not Available","0.87920","Not Available","Not Available","Not Available","0.89808","7 out of 10","8 out of 9","8 out of 10","0.58571","2 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"240066","LAKEVIEW MEMORIAL HOSPITAL","927 WEST CHURCHILL STREET","Stillwater","MN","55082","WASHINGTON","0.85904","Not Available","Not Available","Not Available","0.88171","Not Available","Not Available","Not Available","0.88908","3 out of 10","Not Available","3 out of 10","0.57051","3 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"240069","OWATONNA HOSPITAL","2250 26TH STREET NORTHWEST","Owatonna","MN","55060","STEELE","0.85090","Not Available","Not Available","Not Available","0.88327","1 out of 10","0 out of 9","1 out of 10","0.88921","Not Available","Not Available","Not Available","0.52942","5 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"240071","DISTRICT ONE HOSPITAL","200 STATE AVENUE","Faribault","MN","55021","RICE","0.85557","Not Available","Not Available","Not Available","0.88712","Not Available","Not Available","Not Available","0.89343","Not Available","Not Available","Not Available","0.48220","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"240075","ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","523 NORTH 3RD STREET","Brainerd","MN","56401","CROW WING","0.85712","6 out of 10","8 out of 9","8 out of 10","0.88351","1 out of 10","0 out of 9","1 out of 10","0.88180","0 out of 10","0 out of 9","0 out of 10","0.49606","7 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"240076","BUFFALO HOSPITAL","303 CATLIN ST","Buffalo","MN","55313","WRIGHT","Not Available","Not Available","Not Available","Not Available","0.88350","Not Available","Not Available","Not Available","0.88757","Not Available","Not Available","Not Available","0.46688","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"240078","FAIRVIEW SOUTHDALE HOSPITAL","6401 FRANCE AVENUE SOUTH","Edina","MN","55435","HENNEPIN","0.87322","10 out of 10","9 out of 9","10 out of 10","0.88922","4 out of 10","0 out of 9","4 out of 10","0.89087","4 out of 10","0 out of 9","4 out of 10","0.49542","7 out of 10","0 out of 9","7 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE","Minneapolis","MN","55454","HENNEPIN","0.84827","1 out of 10","Not Available","1 out of 10","0.88714","3 out of 10","0 out of 9","3 out of 10","0.88629","2 out of 10","4 out of 9","4 out of 10","0.51908","6 out of 10","7 out of 9","7 out of 10","0.278","4 out of 10","2 out of 9","4 out of 10"
"240084","ESSENTIA HEALTH VIRGINIA","901 9TH STREET NORTH","Virginia","MN","55792","ST. LOUIS","0.85576","Not Available","Not Available","Not Available","0.88321","Not Available","Not Available","Not Available","0.89563","Not Available","Not Available","Not Available","0.52644","5 out of 10","3 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"240088","RICE MEMORIAL HOSPITAL","301 BECKER AVE SW","Willmar","MN","56201","KANDIYOHI","0.85151","Not Available","Not Available","Not Available","0.87728","0 out of 10","0 out of 9","0 out of 10","0.89083","4 out of 10","5 out of 9","5 out of 10","0.53682","5 out of 10","1 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"240093","MAYO CLINIC HEALTH SYSTEM - MANKATO","1025 MARSH STREET BOX 8673","Mankato","MN","56002","BLUE EARTH","0.85961","8 out of 10","7 out of 9","8 out of 10","0.88535","2 out of 10","4 out of 9","4 out of 10","0.89102","4 out of 10","3 out of 9","4 out of 10","0.69440","0 out of 10","3 out of 9","3 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"240100","SANFORD BEMIDJI MEDICAL CENTER","1300 ANNE ST NW","Bemidji","MN","56601","BELTRAMI","0.85606","Not Available","Not Available","Not Available","0.87555","0 out of 10","0 out of 9","0 out of 10","0.87451","0 out of 10","0 out of 9","0 out of 10","0.54931","4 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"240101","ESSENTIA HEALTH ST MARYS","1027 WASHINGTON AVE","Detroit Lakes","MN","56501","BECKER","0.85744","Not Available","Not Available","Not Available","0.88638","Not Available","Not Available","Not Available","0.89090","Not Available","Not Available","Not Available","0.51776","6 out of 10","3 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"240104","ST FRANCIS REGIONAL MEDICAL CENTER","1455 ST FRANCIS AVENUE","Shakopee","MN","55379","SCOTT","0.84734","Not Available","Not Available","Not Available","0.87154","0 out of 10","Not Available","0 out of 10","0.88709","2 out of 10","4 out of 9","4 out of 10","0.49027","7 out of 10","6 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"240106","REGIONS HOSPITAL","640 JACKSON STREET","Saint Paul","MN","55101","RAMSEY","0.83173","0 out of 10","0 out of 9","0 out of 10","0.88450","2 out of 10","0 out of 9","2 out of 10","0.88003","0 out of 10","2 out of 9","2 out of 10","0.73185","0 out of 10","0 out of 9","0 out of 10","0.165","6 out of 10","0 out of 9","6 out of 10"
"240115","MERCY HOSPITAL","4050 COON RAPIDS BLVD","Coon Rapids","MN","55433","ANOKA","0.85623","6 out of 10","7 out of 9","7 out of 10","0.87961","0 out of 10","0 out of 9","0 out of 10","0.87892","0 out of 10","0 out of 9","0 out of 10","0.34210","10 out of 10","9 out of 9","10 out of 10","0.437","1 out of 10","0 out of 9","1 out of 10"
"240132","UNITY HOSPITAL","550 OSBORNE ROAD","Fridley","MN","55432","ANOKA","0.85370","Not Available","Not Available","Not Available","0.87513","0 out of 10","0 out of 9","0 out of 10","0.88774","3 out of 10","4 out of 9","4 out of 10","0.35195","10 out of 10","9 out of 9","10 out of 10","0.692","0 out of 10","0 out of 9","0 out of 10"
"240141","FAIRVIEW NORTHLAND REGIONAL HOSPITAL","911 NORTHLAND DR","Princeton","MN","55371","SHERBURNE","0.85183","Not Available","Not Available","Not Available","0.88881","Not Available","Not Available","Not Available","0.88308","Not Available","Not Available","Not Available","0.55309","4 out of 10","0 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"240166","MAYO CLINIC HEALTH SYSTEM - FAIRMONT","800 MEDICAL CENTER DRIVE, PO BOX 800","Fairmont","MN","56031","MARTIN","0.85431","Not Available","Not Available","Not Available","0.87926","0 out of 10","0 out of 9","0 out of 10","0.86591","0 out of 10","0 out of 9","0 out of 10","0.52882","5 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"240187","HUTCHINSON HEALTH","1095 HIGHWAY 15 SOUTH","Hutchinson","MN","55350","MCLEOD","0.84635","Not Available","Not Available","Not Available","0.88354","Not Available","Not Available","Not Available","0.89741","Not Available","Not Available","Not Available","0.53604","5 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"240207","FAIRVIEW RIDGES HOSPITAL","201 EAST NICOLLET BOULEVARD","Burnsville","MN","55337","DAKOTA","0.85955","Not Available","Not Available","Not Available","0.86224","0 out of 10","0 out of 9","0 out of 10","0.84645","0 out of 10","0 out of 9","0 out of 10","0.37158","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"240210","HEALTHEAST ST JOHN'S HOSPITAL","1575 BEAM AVENUE","Maplewood","MN","55109","RAMSEY","0.85208","Not Available","Not Available","Not Available","0.87987","0 out of 10","2 out of 9","2 out of 10","0.87253","0 out of 10","0 out of 9","0 out of 10","0.58371","2 out of 10","6 out of 9","6 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"240213","HEALTHEAST WOODWINDS HOSPITAL","1925 WOODWINDS DRIVE","Woodbury","MN","55125","WASHINGTON","0.85481","Not Available","Not Available","Not Available","0.88880","Not Available","Not Available","Not Available","0.86605","0 out of 10","0 out of 9","0 out of 10","0.50594","6 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"240214","MAPLE GROVE HOSPITAL","9875 HOSPITAL DRIVE","Maple Grove","MN","55369","HENNEPIN","0.85666","Not Available","Not Available","Not Available","0.88462","Not Available","Not Available","Not Available","0.88600","2 out of 10","Not Available","2 out of 10","0.43219","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"250001","UNIVERSITY OF MISSISSIPPI MED CENTER","2500 N STATE ST","Jackson","MS","39216","HINDS","0.84081","0 out of 10","4 out of 9","4 out of 10","0.86662","0 out of 10","0 out of 9","0 out of 10","0.86335","0 out of 10","0 out of 9","0 out of 10","0.78542","0 out of 10","4 out of 9","4 out of 10","0.489","0 out of 10","3 out of 9","3 out of 10"
"250002","TISHOMINGO HEALTH SERVICES INC","1777 CURTIS DRIVE","Iuka","MS","38852","TISHOMINGO","0.85687","Not Available","Not Available","Not Available","0.87543","Not Available","Not Available","Not Available","0.88904","3 out of 10","1 out of 9","3 out of 10","0.49577","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"250004","NORTH MISSISSIPPI MEDICAL CENTER","830 S GLOSTER","Tupelo","MS","38801","LEE","0.87578","10 out of 10","9 out of 9","10 out of 10","0.86614","0 out of 10","0 out of 9","0 out of 10","0.89660","6 out of 10","8 out of 9","8 out of 10","0.35311","10 out of 10","9 out of 9","10 out of 10","1.142","0 out of 10","0 out of 9","0 out of 10"
"250006","BAPTIST MEMORIAL HOSPITAL UNION COUNTY","200 HWY 30 WEST","New Albany","MS","38652","UNION","0.84303","Not Available","Not Available","Not Available","0.86436","0 out of 10","0 out of 9","0 out of 10","0.85969","0 out of 10","0 out of 9","0 out of 10","0.53746","5 out of 10","1 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"250007","BILOXI REGIONAL MEDICAL CENTER","150 REYNOIR STREET","Biloxi","MS","39530","HARRISON","0.85698","Not Available","Not Available","Not Available","0.87938","0 out of 10","0 out of 9","0 out of 10","0.88761","3 out of 10","3 out of 9","3 out of 10","0.42175","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"250009","MAGNOLIA REGIONAL HEALTH CENTER","611 ALCORN DRIVE","Corinth","MS","38834","ALCORN","0.84868","1 out of 10","1 out of 9","1 out of 10","0.87970","0 out of 10","1 out of 9","1 out of 10","0.90413","9 out of 10","9 out of 9","9 out of 10","0.57691","3 out of 10","0 out of 9","3 out of 10","0.717","0 out of 10","0 out of 9","0 out of 10"
"250019","MEMORIAL HOSPITAL AT GULFPORT","4500 13TH ST-P O BOX 1810","Gulfport","MS","39502","HARRISON","0.85730","6 out of 10","8 out of 9","8 out of 10","0.88553","2 out of 10","0 out of 9","2 out of 10","0.88255","0 out of 10","0 out of 9","0 out of 10","0.57041","3 out of 10","0 out of 9","3 out of 10","0.107","7 out of 10","7 out of 9","7 out of 10"
"250020","WEBSTER GENERAL HOSPITAL/SWING BED","70 MEDICAL PLAZA","Eupora","MS","39744","WEBSTER","0.85563","Not Available","Not Available","Not Available","0.87785","Not Available","Not Available","Not Available","0.89005","4 out of 10","5 out of 9","5 out of 10","0.48966","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"250025","GILMORE MEMORIAL REGIONAL MEDICAL CENTER","1105 EARL FRYE BLVD","Amory","MS","38821","MONROE","0.85544","Not Available","Not Available","Not Available","0.87472","Not Available","Not Available","Not Available","0.87224","0 out of 10","0 out of 9","0 out of 10","0.51285","6 out of 10","5 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"250031","RIVER REGION HEALTH SYSTEM","2100 HWY 61 N","Vicksburg","MS","39183","WARREN","0.84986","2 out of 10","4 out of 9","4 out of 10","0.86847","0 out of 10","0 out of 9","0 out of 10","0.84785","0 out of 10","0 out of 9","0 out of 10","0.40336","10 out of 10","9 out of 9","10 out of 10","1.413","0 out of 10","0 out of 9","0 out of 10"
"250034","BAPTIST MEMORIAL HOSPITAL NORTH MS","2301 SOUTH LAMAR","Oxford","MS","38655","LAFAYETTE","0.86962","10 out of 10","9 out of 9","10 out of 10","0.88027","0 out of 10","4 out of 9","4 out of 10","0.88249","0 out of 10","0 out of 9","0 out of 10","0.34299","10 out of 10","9 out of 9","10 out of 10","1.207","0 out of 10","0 out of 9","0 out of 10"
"250036","GEORGE COUNTY HOSPITAL","859 WINTER STREET","Lucedale","MS","39452","GEORGE","0.85021","Not Available","Not Available","Not Available","0.88023","0 out of 10","0 out of 9","0 out of 10","0.88846","3 out of 10","Not Available","3 out of 10","0.48371","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"250038","MADISON RIVER OAKS MEDICAL CENTER","161 RIVER OAKS DRIVE","Canton","MS","39046","MADISON","0.85444","Not Available","Not Available","Not Available","0.87675","Not Available","Not Available","Not Available","0.87731","Not Available","Not Available","Not Available","0.54428","4 out of 10","4 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"250040","SINGING RIVER HOSPITAL","2809 DENNY AV","Pascagoula","MS","39581","JACKSON","0.83382","0 out of 10","0 out of 9","0 out of 10","0.86202","0 out of 10","0 out of 9","0 out of 10","0.89949","8 out of 10","8 out of 9","8 out of 10","0.44699","10 out of 10","9 out of 9","10 out of 10","1.746","0 out of 10","0 out of 9","0 out of 10"
"250042","NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER","1970 HOSPITAL DRIVE","Clarksdale","MS","38614","COAHOMA","0.84674","Not Available","Not Available","Not Available","0.89218","6 out of 10","6 out of 9","6 out of 10","0.88852","Not Available","Not Available","Not Available","0.52257","6 out of 10","3 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"250043","NESHOBA COUNTY GENERAL HOSPITAL","1001 HOLLAND AVENUE","Philadelphia","MS","39350","NESHOBA","0.85712","Not Available","Not Available","Not Available","0.87519","0 out of 10","Not Available","0 out of 10","0.88999","4 out of 10","5 out of 9","5 out of 10","0.49461","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"250044","BAPTIST MEMORIAL HOSPITAL BOONEVILLE","100 HOSPITAL DRIVE","Booneville","MS","38829","PRENTISS","0.85207","Not Available","Not Available","Not Available","0.87639","Not Available","Not Available","Not Available","0.88048","0 out of 10","2 out of 9","2 out of 10","0.47501","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"250048","ST DOMINIC-JACKSON MEMORIAL HOSPITAL","969 LAKELAND DR","Jackson","MS","39216","HINDS","0.85221","3 out of 10","0 out of 9","3 out of 10","0.88888","4 out of 10","5 out of 9","5 out of 10","0.88635","2 out of 10","4 out of 9","4 out of 10","0.47021","8 out of 10","9 out of 9","9 out of 10","0.597","0 out of 10","4 out of 9","4 out of 10"
"250049","BEACHAM MEMORIAL HOSPITAL","205 N CHERRY ST","Magnolia","MS","39652","PIKE","Not Available","Not Available","Not Available","Not Available","0.87651","Not Available","Not Available","Not Available","0.87860","0 out of 10","0 out of 9","0 out of 10","0.49548","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"250050","OCH REGIONAL MEDICAL CENTER","400 HOSPITAL ROAD","Starkville","MS","39759","OKTIBBEHA","0.85848","Not Available","Not Available","Not Available","0.85215","Not Available","Not Available","Not Available","0.83462","0 out of 10","0 out of 9","0 out of 10","0.53541","5 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
